ID	Grain_yield
DEMO001	47.70801
DEMO002	48.46120
DEMO003	49.10734
DEMO004	48.01815
DEMO005	48.51520
DEMO006	51.38421
DEMO007	56.26989
DEMO008	55.09551
DEMO009	52.55985
DEMO010	54.37596
DEMO011	50.08012
DEMO012	50.57961
DEMO013	47.75235
DEMO014	49.22396
DEMO015	49.61067
DEMO016	47.99668
DEMO017	48.97711
DEMO018	55.33523
DEMO019	53.69073
DEMO020	48.40299
DEMO021	51.01338
DEMO022	58.59517
DEMO023	48.86389
DEMO024	51.08343
DEMO025	54.20384
DEMO026	51.68322
DEMO027	46.33082
DEMO028	48.42200
DEMO029	49.93416
DEMO030	49.20065
DEMO031	50.83122
DEMO032	50.80083
DEMO033	50.28457
DEMO034	50.00814
DEMO035	51.34606
DEMO036	50.41216
DEMO037	50.13584
DEMO038	49.14615
DEMO039	50.77237
DEMO040	51.38145
DEMO041	48.74183
DEMO042	51.72312
DEMO043	49.36554
DEMO044	50.69296
DEMO045	53.81157
DEMO046	47.87061
DEMO047	49.07686
DEMO048	49.70068
DEMO049	49.96861
DEMO050	50.08875
DEMO051	49.88059
DEMO052	49.62047
DEMO053	51.50046
DEMO054	50.91269
DEMO055	49.68535
DEMO056	51.93583
DEMO057	46.52971
DEMO058	49.10042
DEMO059	51.24371
DEMO060	50.20202

