ID	Gene_01	Gene_02	Gene_03	Gene_04	Gene_05	Gene_06	Gene_07	Gene_08	Gene_09	Gene_10
DEMO001	-0.26418	0.75302	0.13374	0.63958	0.29554	-0.20508	0.28333	0.26578	0.63045	1.07904
DEMO002	-0.22849	0.84241	-0.19535	0.67367	-0.05371	-0.33440	0.98272	-0.29869	0.71059	-0.22955
DEMO003	-0.48196	0.47378	0.99147	0.17721	0.29066	-0.46360	0.50052	-0.20037	-0.08469	1.09013
DEMO004	-0.03525	0.81199	-0.04649	0.34454	-0.12896	-0.14246	0.98412	0.61526	1.01742	-0.33045
DEMO005	-0.79025	-0.10839	-0.05828	0.34998	0.42758	0.11785	0.35250	0.01398	0.27852	0.53389
DEMO006	-0.28567	-0.40775	0.66668	-0.01113	0.11538	0.38010	0.03228	0.71089	0.28707	0.46354
DEMO007	0.83515	-0.22307	0.39626	-0.64813	0.42553	0.14205	-0.04675	-0.27786	0.29441	-0.28442
DEMO008	0.60282	0.07599	1.09101	-0.12301	0.68143	0.61636	0.50022	-0.51212	-0.13481	0.14897
DEMO009	-0.23252	-0.25796	-0.88806	0.16490	0.84881	-0.83016	0.34466	-0.10469	-0.01812	0.20976
DEMO010	1.21780	0.05661	0.40675	0.02189	0.59536	-0.23707	-0.23408	0.08993	0.22689	0.00903
DEMO011	-0.34682	0.09903	0.68063	0.09968	0.33276	-0.43404	0.87443	0.53133	0.28812	0.50101
DEMO012	-0.30589	0.31152	-0.17376	-0.43079	0.12982	0.02307	1.03221	0.39747	0.42896	0.11768
DEMO013	-0.51613	0.68318	0.62973	0.00656	0.09926	-0.20350	1.17158	0.19005	0.44777	0.38212
DEMO014	-0.36268	0.36200	0.95609	0.00554	0.83932	-0.54245	0.27115	0.21681	0.69839	-0.10146
DEMO015	-0.35363	0.33888	0.13752	-0.33500	0.22856	0.05264	1.16944	0.15745	-0.13505	-0.23616
DEMO016	-0.43888	0.24469	0.18202	0.05439	-0.11053	-0.18735	-0.11925	0.01481	1.11959	0.82453
DEMO017	-0.00470	0.60005	0.51104	-0.06175	0.32428	0.35556	0.11989	0.50520	0.55221	-0.06593
DEMO018	0.71936	0.38632	0.81164	-0.23200	-0.19376	-0.40766	0.43721	-0.15134	0.93018	0.15304
DEMO019	0.72071	0.31298	0.56864	0.03613	0.58129	0.06650	0.27773	0.15294	1.11227	0.31667
DEMO020	-0.83412	-0.24533	0.34934	0.02390	1.08090	-0.13648	0.31249	0.59006	0.58952	0.22071
DEMO021	-0.20518	0.44665	0.02893	-0.91229	1.10736	-0.39372	0.67366	-0.24443	-0.24414	0.60150
DEMO022	1.41508	-0.22793	-0.72378	0.03521	0.18134	0.70512	1.16055	-0.13083	0.61369	0.64840
DEMO023	-0.93200	0.96295	-0.02220	-1.06493	0.09168	-0.09416	0.90069	0.49250	0.38279	0.20017
DEMO024	0.80204	0.56227	-0.36991	0.71604	0.13341	0.06612	0.25031	-0.15617	0.61971	0.50962
DEMO025	0.60658	0.28005	0.00022	-0.53739	0.28577	-0.07760	0.74514	0.48183	0.83594	-0.16905
DEMO026	-0.26912	-0.10753	-0.42150	-0.37460	0.58957	0.41114	0.60566	0.35242	0.37353	0.54802
DEMO027	-0.90126	0.39882	0.54550	0.26851	0.21683	-0.58410	0.35046	-0.46583	0.90856	0.52068
DEMO028	-0.84911	1.09792	0.76857	-0.05390	0.39709	0.04168	0.02008	-0.24982	0.49059	0.15531
DEMO029	-0.41436	0.69809	0.52072	-0.32221	0.51529	0.03061	0.73220	0.27847	0.89792	-0.40803
DEMO030	-0.05687	0.30578	1.42674	-0.91936	0.29231	-0.57461	0.48465	-0.72234	1.16402	0.50021
DEMO031	-0.17281	0.00309	1.00284	-0.10718	0.57773	-0.46366	0.61366	0.14453	0.17557	-0.45042
DEMO032	-0.34106	-0.00558	-0.30064	-0.16639	0.25797	-0.87013	0.90757	0.61007	0.23194	0.34131
DEMO033	-0.30420	-0.06701	0.16118	0.45066	0.76161	-0.37529	0.50936	0.30844	0.52100	-0.07402
DEMO034	-0.05138	0.00310	0.68542	-0.22400	0.08179	-0.01128	0.78289	-0.32819	1.19514	1.12935
DEMO035	-0.09355	0.12115	0.20188	-0.11254	0.04567	-1.19710	-0.23746	-0.23919	0.59570	0.08579
DEMO036	0.11328	0.20447	0.15409	-0.06604	0.39137	-0.06651	-0.02625	-0.03856	-0.40874	0.56594
DEMO037	-0.02992	0.46224	0.25764	-0.21713	0.73969	0.38531	0.25912	-0.45558	0.09012	-0.17289
