Z1_0	Z1_1	Z1_2	Z1_3	Z1_4	Z1_5	Z1_6	Z1_7	Z1_8	Z1_9	Z1_10	Z1_11	Z1_12	Z1_13	Z1_14	Z1_15	Z1_16	Z1_17	Z1_18	Z1_19	Z1_20	Z1_21	Z1_22	Z1_23	Z1_24	Z1_25	Z1_26	Z1_27	Z1_28	Z1_29	Z1_30	Z1_31
-0.9322214	-0.08263682	-0.87347436	-0.84444845	-0.22702798	-1.3049289	0.13321857	0.902742	0.10317467	0.7263782	-1.3402383	-0.06310223	0.9699317	-1.4217825	-0.38251954	-1.4773072	-0.17928025	-0.073593885	-0.082441226	-0.032126993	-1.4864993	0.12541693	0.7080507	0.82023	-1.4496561	0.271657	0.014543906	-0.074271426	0.15293568	0.055688433	-0.21962705	1.824622
-1.1943249	-0.39772102	-0.7854164	-0.6788325	0.13450381	-1.0580459	-0.18386702	0.68025345	0.8132157	-0.056103297	-1.2179654	-0.69878966	0.6853798	-1.2717576	0.46149275	-2.1330736	-0.51420254	0.22671302	-0.4693312	-1.1366763	-2.0727715	0.5588661	1.5973812	0.49752143	-0.39993897	0.3498362	-0.55839455	0.7189852	0.66781104	0.2838651	-0.4380743	1.0589538
-1.3721195	-0.16904369	-0.8063548	-0.67928165	-0.36514494	-1.5110017	-0.41077965	2.387329	1.0199146	-0.14650288	-0.8739723	-0.30623364	0.73339444	-0.89837295	-0.6440124	-0.37746683	-0.9901709	0.52667844	-0.14391579	0.66015536	-1.951424	-0.56230587	0.3423879	1.7193402	0.0054118	0.24735537	0.3156309	-0.9996128	-0.22762075	0.57926244	-1.35868	2.4360657
-1.034158	-0.5723321	0.842576	-0.9252347	0.4462879	-1.1566126	0.97673017	0.5155259	0.6545327	-1.0704547	-1.5176555	-0.76117533	0.113408044	-1.7626935	0.039830152	-1.9800433	-0.09021456	-0.14921308	0.8539383	0.037289783	-0.5903014	0.6935315	1.4421924	0.76514757	-0.30563292	0.43186665	-0.65345395	-0.19639204	0.5691813	1.706948	-1.1946559	0.7490043
-1.8349081	-1.5181627	-0.49263716	-1.191381	0.7783557	-0.6083364	0.06452556	0.8373214	0.8761509	0.91994894	-0.94433737	-1.0439	-0.21123546	-2.9208856	-1.1770236	-1.4216453	-0.75454617	-0.145599	-0.022902718	0.22538005	-1.1246881	-0.94571114	0.7976399	-0.16732383	0.19971314	0.34472215	0.30071512	-0.41728413	0.12912238	2.015	-0.54852563	0.8508262
-1.4868091	-1.0003504	-0.00670474	-0.92884237	-0.17347163	-1.4954748	0.16249451	0.99168026	0.6637316	0.33658022	-0.2814571	-0.9765013	0.49821484	-1.7383034	0.68674105	-2.452605	-1.1257652	0.047993947	0.2663394	-0.43896425	-0.6284781	-0.08233935	2.553154	0.39781502	-0.6185356	-0.76539	-0.015981138	-0.22550757	0.29182088	0.99170655	-1.239621	1.085857
-1.817422	-0.6343132	-1.5113957	-1.6375393	-0.47249052	-1.3992071	0.0906405	1.2417802	1.2822765	0.64725137	-0.6055567	0.3530066	0.11496091	-1.0006232	0.28892082	0.15327749	-0.3201245	0.85923177	-0.43876725	0.040328786	-2.5200253	0.094249606	0.3785552	1.0792462	-0.033808175	-0.108089454	-0.262729	-0.030814175	0.33752647	0.57067806	-0.4602471	1.7289326
-1.7917782	0.07726488	2.675769	-1.5267674	2.0304887	-0.073193155	2.0242352	-0.8872776	0.5688696	0.1997399	-1.0962033	-1.3779285	1.797296	-0.8311106	1.1176646	-3.1074202	-1.0091697	-0.883434	-0.8948818	-1.481998	-2.1913195	3.515561	3.0588431	-1.1358807	-1.1025693	-0.60861987	0.6980077	2.2919462	1.8009242	-0.79748106	-1.1915183	-0.9213918
-0.8334266	-0.67897487	-0.69130486	-0.9617491	-0.71626747	-0.6680958	-0.66315335	1.466402	-0.10441047	-0.37772807	-0.78735423	-0.5614615	0.6944074	-1.3573766	-0.5677238	-1.5667949	-0.4792145	0.39461482	-0.93813413	0.25079685	-1.9139978	0.2527038	0.18507737	0.3214639	-0.05618292	0.7243749	0.20635667	-0.310466	-0.40437037	0.5727028	-0.1767843	1.700299
-2.0572844	0.3167275	2.5970323	-1.886978	2.024801	-0.9478511	2.5572643	-0.55557406	0.49191862	-0.23374826	-0.50304306	-2.6890543	2.3987515	-0.8459456	0.27097392	-2.5842855	-0.7296051	-0.64687794	-0.9339571	-1.8339727	-1.7055644	3.3374238	2.5134149	-0.8515612	-0.70270103	-0.5236178	-0.13855734	2.3320816	0.93907523	-0.42675784	-0.69819665	-1.0492183
-2.026272	-1.3762333	1.1394072	-2.7906034	1.4430789	-0.70682913	0.942548	0.17352489	1.1222867	0.72328067	-0.22598246	-0.75754404	1.3691282	-1.0622399	-0.3940644	-1.065061	0.2077393	-0.91650665	0.68688744	-0.8265806	-1.636522	1.1805112	1.6792287	-0.42234105	-0.4373074	0.108590685	-0.57959706	1.0969213	1.0984187	0.4156944	-0.73364204	-0.25443193
-0.4010851	-0.054186083	1.4232149	-1.2098715	-0.46851555	-0.31725186	1.110078	0.850096	0.4172149	-0.6011836	-0.6991664	-0.624455	0.35232157	-0.9875562	0.14680275	-1.9289905	-1.0948565	-0.21646582	-0.6108338	0.21641484	-1.9736795	0.1523448	0.45215777	0.07137856	-0.30349055	0.47080103	-0.388607	-0.1947975	0.0027219728	1.284452	-0.80408597	0.62710625
-2.7997704	0.17352435	0.7948886	-0.80777633	1.1793437	-1.5800295	0.91209173	-0.15363576	0.8384398	-0.48256618	-1.1276456	-1.3659577	1.2145473	-1.3988338	-0.35692078	-2.040365	0.06911116	0.092317685	-0.07686483	-0.73995715	-1.6475261	0.85619175	0.9962246	0.4034511	0.18795267	-0.7252718	-0.252425	0.9568279	0.987071	0.0029630885	-0.5306418	-0.70599145
-2.5667062	0.14716007	3.42216	-1.6778741	2.2167466	-0.23417768	2.232516	-0.77487624	1.4708419	-0.29400998	-0.69207746	-1.9745965	2.532773	-1.0892456	-0.056684505	-2.9277313	-0.87322336	-0.3383692	-0.44477963	-2.3194845	-2.271964	3.892377	2.6332612	-1.3955259	-0.52094114	-0.06917889	0.057627738	2.3759792	1.5454834	-0.5597702	-1.0849948	-1.8145293
-0.75312877	-0.04939481	0.5959709	-1.5770932	1.2364613	-0.014176272	0.8364046	1.323084	0.43561438	-1.028135	-1.0396796	0.3408926	0.90569633	-1.7339587	0.35904223	-1.7699248	0.38315395	0.6664931	0.08559012	-0.37833098	-1.1429068	1.4380143	0.7001084	0.24588928	0.13575089	0.3419386	-0.5012399	0.39888647	0.78191626	0.0269083	0.012648866	0.41579685
-2.4367113	-0.97100914	1.2402152	-1.2736471	1.2384778	0.19763574	1.6353023	0.23807307	1.0574572	0.68771076	-0.31402588	-0.86811525	0.91068524	-0.5356855	-0.2933296	-1.6269282	-0.3660937	-0.28571352	-0.61219704	-1.3858483	-1.5697968	2.1343503	2.6039672	-0.6841519	-0.37071857	0.8472187	-0.9476905	1.3449379	1.5653366	0.91736305	-1.86373	-0.4019933
-1.9797977	-0.035852276	3.0864491	-1.7197672	1.5682639	-0.04477509	1.4773226	-0.75236845	1.6705167	-0.044339336	-0.2179982	-2.4627552	2.0269687	-1.5033982	0.60657966	-1.6580305	-1.1103189	-0.49377587	-0.6996732	-2.291171	-1.7093791	2.9795387	2.3736763	-0.44813922	-1.1198561	-0.16505793	-0.47068477	2.3998494	1.4249686	-0.23240462	-1.0506872	-1.1046294
-2.2347937	-0.6201608	2.4166596	-1.5997547	1.3139987	0.24774596	2.2017677	-0.11520706	1.3446687	-0.09692601	-0.5774803	-0.5562483	1.2670275	-0.9439303	0.66009146	-2.1065004	-0.16912481	0.7413913	-1.0323255	-1.1517293	-1.2862648	2.4558277	2.3828397	-0.61105156	-1.0370162	0.9009443	0.3761321	1.6874508	1.2701274	-0.05880693	-0.61110437	-0.425191
-0.5712215	-1.0471506	-0.7310424	-1.0247488	0.23567863	-0.90440243	0.07044403	2.2129624	0.39786237	-0.7837734	-0.84848857	0.61496204	0.40820855	-2.0490286	-0.2978677	-1.5478803	-0.75382674	1.0111092	0.30509755	0.40700808	-1.1473283	-0.16314894	-0.24247423	0.89292634	-0.089693986	0.3991897	-1.1204149	-0.1136999	-0.17744973	2.0864213	0.080482826	2.3571162
-2.5006378	0.40603837	3.527004	-1.783518	2.5245094	-0.23529863	2.1110394	-0.915673	1.1703173	-0.8363049	-0.7487956	-2.1074026	1.9950827	-1.3313221	1.1349322	-2.78982	-0.7321322	-0.5191944	-0.56092656	-1.7990147	-1.7277287	3.9207292	2.866704	-1.4300073	-0.98866326	-0.82013863	-0.20702264	2.3859212	2.1932158	-0.87182635	-1.0134131	-1.9169245
-0.1457501	-0.6567806	1.1256714	-1.8843539	0.2646708	-0.076584466	2.1287358	-0.43607193	0.8983307	-1.428197	-0.74186015	-0.4578036	0.50010395	-1.2535601	-0.52000517	-0.11763738	-0.6858067	0.34071723	-0.46578008	-0.7822875	-2.5858169	1.2412722	1.4943556	1.0906211	-0.67467743	0.43394464	-0.26932475	-0.19483109	0.10084334	-0.07256966	-0.89877915	0.74221283
-1.9125054	-0.41654882	1.7306191	-1.1308953	2.0439818	0.19124448	0.9471127	-0.029871866	0.40807688	-0.16451848	-0.5255183	-1.4753151	2.214493	-0.20943514	0.020808402	-1.5997645	0.3801974	-0.8584922	-0.4086969	-0.6540625	-2.4298372	2.7008314	2.617457	-0.41523072	-1.0574797	0.27475652	-1.0114839	1.3289078	1.5441202	-0.5879839	-1.6142321	-0.40260988
-2.3269207	-0.48529866	2.6686385	-2.2511566	1.2462924	-0.25323465	2.2801716	-1.0162693	2.183892	-0.9891195	-0.72346985	-0.40966266	1.8486307	-1.5039904	0.90297765	-2.2565491	-0.802084	-0.23301877	0.072820485	-1.1149185	-1.5937386	2.051372	2.093882	-1.0370737	-0.7257959	-0.80469334	-0.234068	2.4441814	1.1826847	-0.3572473	-0.52305204	-1.3283879
-1.4722642	0.19980374	0.76763964	-2.3485677	0.1413289	0.05919727	0.6005105	0.12473266	1.1176255	-0.5043698	-1.2286388	-0.9022911	1.1209832	-0.7178495	0.5260799	-0.76104	-1.1309603	-0.3964254	-0.40706253	-0.2796425	-1.5591668	1.0923936	1.634392	-0.26925611	-1.4108967	-0.020813113	-0.38688135	1.0203354	0.9689065	0.22690874	-1.0043569	0.05778513
-0.09076677	0.010014721	-1.371169	-1.2052155	-0.41417113	-1.8066645	-0.59552395	2.4587893	-0.55332047	-0.62724036	-1.2771903	-1.0454051	0.09092957	-2.2278237	-0.8881285	-1.6668569	-1.1171651	0.25675473	0.65439445	0.7229507	-1.3604709	-0.18835315	0.105582	0.8974595	-0.16045853	-0.225344	-0.5564824	-0.36632246	-1.1391349	1.8731346	-0.8853285	3.3312037
-0.9171908	-1.159528	-2.797209	-0.4559387	-0.78051853	-1.6455069	-1.0400206	1.87473	0.67044103	-1.1433583	-1.2510872	0.73370796	-1.4207326	-2.300689	-0.32054558	-1.400579	0.25503662	0.9801193	0.80499583	-1.0719646	-1.7775223	-2.128779	-0.9100908	2.4782534	-0.5512054	1.3744948	-1.1289241	-1.558878	-0.9718689	1.7892222	-0.41999912	2.9107816
-2.96591	-0.2776747	2.7537258	-1.6837829	1.3783396	-0.7848421	1.8751006	-1.0992852	0.9517126	-0.43235874	-1.4119465	-2.1491728	2.4554718	-0.435976	0.5564373	-2.105437	-0.5478718	-0.7383441	0.08326292	-1.2701143	-2.0237875	2.9495897	1.8698539	-0.7887194	-0.7463934	0.34147978	-0.34858114	2.225169	1.4743161	-0.66636235	-0.29555345	-1.265773
-1.4562417	-0.11410289	1.0666645	-0.80858266	0.92373854	0.17631069	0.53365326	0.59810925	0.6272985	0.9322902	-0.1926601	-1.6328726	1.0081127	-2.0372133	-0.558582	-1.8422896	0.3306722	-0.8772981	-0.06388189	-1.1779613	-1.192081	1.5283926	1.8602651	0.08522472	-0.5494073	0.3902768	-1.3701442	1.3034539	1.1834043	-0.32432964	-0.6923833	-0.036152653
-2.2970843	0.5472317	3.7351534	-1.4894502	2.4544396	-0.1891338	1.9717095	-0.55466753	1.2784576	0.065930404	-0.5109648	-1.9562657	2.4254358	-0.9108279	0.24805172	-3.0081465	-0.7581578	-0.3776818	-0.61626816	-2.2988825	-1.6053189	3.5076776	2.508471	-1.1915201	-1.1015974	-0.72704774	-0.42450285	2.7172897	1.6352481	-0.09273342	-1.2674961	-1.9296529
-1.0482926	-0.87761796	-0.23561925	-2.478329	0.030852284	-1.0409989	0.2964243	0.84986866	2.4495695	-1.1828002	-0.74506986	-0.15415916	0.5760876	-1.016633	-0.43962708	-0.34903768	-1.3712075	0.65631884	-0.3691999	-0.5035506	-2.3445086	0.5343163	0.723276	1.3418908	-0.30920723	0.41811156	0.4703146	-0.092565015	0.43839428	0.28676838	-0.48799938	0.93250346
